,ticker,name,market,locale,active,source_feed
178,I:BR20,Dow Jones Brazil Titans 20 ADR Index,indices,us,True,CMEMarketDataPlatformDowJones
179,I:BRIC50D,Dow Jones BRIC 50 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
180,I:BRIC50E,Dow Jones BRIC 50 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
181,I:BSZ,Cboe S&P 500 Index Binary Options,indices,us,True,CboeGlobalIndicesMain
182,I:BTC10RP,Cboe 10 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
183,I:BTC1RP,Cboe 1 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
184,I:BTC20PRP,Cboe 0.2 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
185,I:BTC20RP,Cboe 20 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
186,I:BTC5RP,Cboe 5 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
187,I:BTCOIV,,indices,us,True,CboeGlobalIndicesCCCY
188,I:BTCUSD,Bitcoin vs US Dollar,indices,us,True,CboeGlobalIndicesCCCY
189,I:BXD,Cboe DJIA BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
190,I:BXDE,DJIA Cboe BuyWrite V2 Index,indices,us,True,CboeGlobalIndicesMain
191,I:BXDEH,,indices,us,True,CboeGlobalIndicesMain
192,I:BXEA,Cboe MSCI EAFE BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
193,I:BXEF,Cboe MSCI Emerging Markets BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
194,I:BXEMG,,indices,us,True,CboeGlobalIndicesMain
195,I:BXESG,Cboe S&P 500 ESG BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
196,I:BXHB,Cboe HYG BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
197,I:BXLB,Cboe LQD BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
198,I:BXLFH,Cboe S&P Financials Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
199,I:BXLKH,Cboe S&P Technology Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
200,I:BXLVH,Cboe S&P Health Care Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
201,I:BXM,Cboe S&P 500 BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
202,I:BXMC,Cboe S&P 500 Conditional BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
203,I:BXMD,Cboe S&P 500 30-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
204,I:BXMH,Cboe S&P 500 Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
205,I:BXMU,Cboe S&P 500 BuyWrite 15% WHT,indices,us,True,CboeGlobalIndicesMain
206,I:BXMVM,Cboe S&P 500 Managed Volatility BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
207,I:BXMW,Cboe S&P 500 Multi-Week BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
208,I:BXN,Cboe NASDAQ-100 BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
209,I:BXNH,Cboe NASDAQ-100 Half BuyWrite V2 Index,indices,us,True,CboeGlobalIndicesMain
210,I:BXNT,Cboe NASDAQ-100 BuyWrite V2 Index,indices,us,True,CboeGlobalIndicesMain
211,I:BXNTU,Cboe NASDAQ-100 BuyWrite V2 UCITS Index,indices,us,True,CboeGlobalIndicesMain
212,I:BXR,Cboe Russell 2000 BuyWrite Index,indices,us,True,CboeGlobalIndicesFTSE
213,I:BXRC,Cboe Russell 2000 Conditional Buywrite Index,indices,us,True,CboeGlobalIndicesFTSE
214,I:BXRD,Cboe Russell 2000 30-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
215,I:BXRH,Cboe Russell 2000 Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
216,I:BXRT,CBOE Russell 2000 30-Delta Buywrite V2 Index,indices,us,True,CboeGlobalIndicesFTSE
217,I:BXTB,Cboe TLT 2% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
218,I:BXTW,Cboe 20+ Year Treasury Bond One,indices,us,True,CboeGlobalIndicesMain
219,I:BXVBW,,indices,us,True,CboeGlobalIndicesMain
220,I:BXWBW,,indices,us,True,CboeGlobalIndicesMain
221,I:BXY,Cboe S&P 500 2% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
222,I:BYC,Morgan Stanley 0% STARS Cboe S&P 500 Buy,indices,us,True,CboeGlobalIndicesMain
223,I:BYEA,Cboe MSCI EAFE 2% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
224,I:BYEF,Cboe MSCI Emerging Markets 2% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
225,I:BZQIV,PROSHARES ULTRASHORT MSCI BRAZIL CAPPED ETF,indices,us,True,CboeGlobalIndicesINAV
226,I:CADOW,Dow Jones Canada Index,indices,us,True,CMEMarketDataPlatformDowJones
227,I:CADOWD,Dow Jones Canada Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
228,I:CALD,Cboe Validus S&P500 Dynamic Call BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
229,I:CAPEXA,Nasdaq US CapEx Achievers Index,indices,us,True,NasdaqGIDS
230,I:CAPEXAN,Nasdaq US CapEx Achievers Net Total Return Index,indices,us,True,NasdaqGIDS
231,I:CAPEXAT,Nasdaq US CapEx Achievers Total Return Index,indices,us,True,NasdaqGIDS
232,I:CBMKCCSI,Wholesale Cannabis Price Paid by the Distributor,indices,us,True,NasdaqGIDS
233,I:CBMKCNLP,Wholesale Cannabis Price Paid to Licensed Producer,indices,us,True,NasdaqGIDS
234,I:CBMKETAX,Canada Wt Avg Fed/Prov Excise Tax Paid by Lic Prod,indices,us,True,NasdaqGIDS
235,I:CDSPG,SPX Gamma Weighted Dispersion,indices,us,True,CboeGlobalIndicesMain
236,I:CDSPT,SPX Theta Weighted Dispersion,indices,us,True,CboeGlobalIndicesMain
237,I:CDSPV,SPX Vega Weighted Dispersion,indices,us,True,CboeGlobalIndicesMain
238,I:CELS,NASDAQ Clean Edge Green Energy,indices,us,True,NasdaqGIDS
239,I:CELSEW,Nasdaq Clean Edge Green Energy EW Index,indices,us,True,NasdaqGIDS
240,I:CELSEWN,Nasdaq Clean Edge Green Energy EW NTR Index,indices,us,True,NasdaqGIDS
241,I:CELSEWT,Nasdaq Clean Edge Green Energy EW TR Index,indices,us,True,NasdaqGIDS
242,I:CELSI,Nasdaq Clean Edge International Green Energy Index,indices,us,True,NasdaqGIDS
243,I:CELSIN,Nasdaq Clean Edge International Green Energy Net Total Return Index,indices,us,True,NasdaqGIDS
244,I:CELSIT,Nasdaq Clean Edge International Green Energy Total Return Index,indices,us,True,NasdaqGIDS
245,I:CELSN,Nasdaq Clean Edge Green Energy Net Total Return Index,indices,us,True,NasdaqGIDS
246,I:CEX,Standard & Poors Chemicals Index,indices,us,True,CboeGlobalIndicesMain
